epoch,accuracy,loss,val_accuracy,val_loss
0,0.47993355989456177,1.2022790908813477,0.49567723274230957,1.1177712678909302
1,0.6446166634559631,0.8691426515579224,0.5706051588058472,1.0374948978424072
2,0.7196235656738281,0.7077478766441345,0.5994236469268799,1.0497266054153442
3,0.7769166827201843,0.5933675169944763,0.5850144028663635,1.1289427280426025
4,0.8134514093399048,0.49451902508735657,0.5648415088653564,1.213451623916626
5,0.8516468405723572,0.41485854983329773,0.5417867302894592,1.3114219903945923
6,0.8751729726791382,0.33762532472610474,0.5619596838951111,1.4307262897491455
7,0.8895654678344727,0.3103257417678833,0.5475504398345947,1.4718141555786133
8,0.9075560569763184,0.25251513719558716,0.5648415088653564,1.6280920505523682
9,0.9280376434326172,0.19970624148845673,0.5475504398345947,1.691675066947937
10,0.9418765306472778,0.16288478672504425,0.5504322648048401,1.8276090621948242
11,0.9443675875663757,0.16124798357486725,0.5561959743499756,1.9543031454086304
12,0.945751428604126,0.15050701797008514,0.5677233338356018,2.0137991905212402
13,0.9579296708106995,0.13078130781650543,0.5475504398345947,2.1123909950256348
14,0.9587600231170654,0.13291886448860168,0.5533141493797302,2.2435293197631836
15,0.9606974720954895,0.11266349256038666,0.579250693321228,1.9773401021957397
16,0.9618045687675476,0.11291733384132385,0.5677233338356018,2.2256031036376953
17,0.9745364189147949,0.0813651978969574,0.5504322648048401,2.5214080810546875
18,0.9604207277297974,0.11407490819692612,0.5389049053192139,2.2710561752319336
19,0.9717686176300049,0.07650894671678543,0.5360230803489685,2.342278003692627
20,0.9701079726219177,0.08509840816259384,0.5417867302894592,2.4021010398864746
21,0.9745364189147949,0.07290416955947876,0.5734870433807373,2.5798003673553467
22,0.9717686176300049,0.08889662474393845,0.5216138362884521,2.7305424213409424
23,0.9662330746650696,0.10298064351081848,0.530259370803833,2.7384989261627197
24,0.9695543646812439,0.0880022794008255,0.5763688683509827,2.401594638824463
