epoch,accuracy,loss,val_accuracy,val_loss
0,0.3703293800354004,1.3262475728988647,0.455331414937973,1.2894303798675537
1,0.643509566783905,0.985748827457428,0.6311239004135132,0.9593881368637085
2,0.7932466268539429,0.5794998407363892,0.6916426420211792,0.8507314920425415
3,0.8483254909515381,0.4113655984401703,0.7118155360221863,0.7886688709259033
4,0.8837531208992004,0.31499922275543213,0.6685879230499268,0.8364123106002808
5,0.9117076992988586,0.25691020488739014,0.6887608170509338,0.8722355365753174
6,0.9310821890830994,0.20690244436264038,0.6974063515663147,0.9282405376434326
7,0.9454746842384338,0.1748260259628296,0.6887608170509338,0.9907731413841248
8,0.9523941278457642,0.15417243540287018,0.6916426420211792,1.0554790496826172
9,0.9620813727378845,0.12651078402996063,0.7002881765365601,1.0950546264648438
10,0.9648491740226746,0.12148159742355347,0.6829971075057983,1.1521233320236206
11,0.9692776203155518,0.10261918604373932,0.7031700015068054,1.186155080795288
12,0.9695543646812439,0.09610307216644287,0.6858789920806885,1.2169432640075684
13,0.9712150692939758,0.09540967643260956,0.6829971075057983,1.29416823387146
14,0.972875714302063,0.08754343539476395,0.6829971075057983,1.3467326164245605
15,0.973429262638092,0.08395170420408249,0.6772334575653076,1.3592032194137573
16,0.9748131632804871,0.07694580405950546,0.6685879230499268,1.318631649017334
17,0.9753667116165161,0.07588792592287064,0.6685879230499268,1.4442873001098633
18,0.9759202599525452,0.06829728931188583,0.6829971075057983,1.4930602312088013
19,0.9745364189147949,0.07420776039361954,0.6772334575653076,1.4696552753448486
20,0.9773041605949402,0.06818663328886032,0.6858789920806885,1.4678889513015747
21,0.9761970639228821,0.06650209426879883,0.6628242135047913,1.4833312034606934
22,0.975643515586853,0.0634588748216629,0.6714697480201721,1.5345014333724976
23,0.9786880612373352,0.05891842022538185,0.6743515729904175,1.533879041671753
24,0.9784113168716431,0.060881759971380234,0.6599423885345459,1.535819411277771
